City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
1,Ambilobe,MG,74.59,overcast clouds,-13.2,49.05,Hôtel National
4,Hilo,US,83.28,scattered clouds,19.7297,-155.09,Dolphin Bay Hotel
8,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti International Resort
15,Rikitea,PF,78.33,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
16,Touros,BR,79.36,clear sky,-5.1989,-35.4608,Pousada Atlântico
24,Byron Bay,AU,71.71,broken clouds,-28.65,153.6167,Lord Byron Resort
25,Avarua,CK,84.25,light rain,-21.2078,-159.775,Paradise Inn
26,Souillac,MU,76.62,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
37,Cidreira,BR,74.48,scattered clouds,-30.1811,-50.2056,Hotel Castelo
38,Ambulu,ID,74.95,overcast clouds,-8.345,113.6058,Hotel Ambulu
40,Inhambane,MZ,75.79,overcast clouds,-23.865,35.3833,Hotel de Inhambane
46,Coromandel,BR,71.65,overcast clouds,-18.4733,-47.2003,Hotel Rodoviário
47,Kroya,ID,78.13,overcast clouds,-7.6331,109.2461,Setia Hotel
51,Jatai,BR,75.06,overcast clouds,-17.8814,-51.7144,Hotel Rio Claro
55,Tonantins,BR,81.7,light rain,-2.8731,-67.8022,Red Davi
56,Sur,OM,73.27,clear sky,22.5667,59.5289,Sur Hotel
57,Kilindoni,TZ,80.2,moderate rain,-7.9139,39.6668,Ibizza Inn
60,Victoria,HK,77.43,scattered clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
62,Palembang,ID,73.49,broken clouds,-2.9167,104.7458,OYO 183 The Pipe House
68,Caravelas,BR,78.04,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
69,Hithadhoo,MV,80.82,overcast clouds,-0.6,73.0833,Pebbles Inn
70,Richards Bay,ZA,71.94,overcast clouds,-28.783,32.0377,Protea Hotel
72,Atuona,PF,80.69,few clouds,-9.8,-139.0333,Pearl Resort
73,Kapaa,US,82.47,light rain,22.0752,-159.319,Pono Kai Resort
76,Abu Dhabi,AE,75.94,clear sky,24.4667,54.3667,Marriott Downtown Abu-Dhabi
77,Talara,PE,83.16,scattered clouds,-4.5772,-81.2719,Hospedaje El Aypate
92,Mount Pleasant,US,82.54,clear sky,32.7941,-79.8626,Old Village Post House
93,Quirinopolis,BR,75.87,broken clouds,-18.4483,-50.4517,Hotel dos Viajantes
96,Chuy,UY,71.44,overcast clouds,-33.6971,-53.4616,Alerces
99,Faanui,PF,82.74,few clouds,-16.4833,-151.75,Oa Oa Lodge
105,Hualmay,PE,77.95,overcast clouds,-11.0964,-77.6139,Hotel Mi Choacan
114,Pangkalanbuun,ID,72.7,overcast clouds,-2.6833,111.6167,Hotel Tiara
123,Cabo San Lucas,MX,81.7,clear sky,22.8909,-109.9124,Comfort Rooms
124,Port Elizabeth,ZA,72.1,few clouds,-33.918,25.5701,Waterford Hotel
125,San Luis,AR,72.03,broken clouds,-33.295,-66.3356,Hotel Dos Venados
126,Honiara,SB,81.34,overcast clouds,-9.4333,159.95,King Solomon Hotel
129,Lazaro Cardenas,MX,82.51,broken clouds,17.9583,-102.2,Hotel Sol del Pacífico
131,Mareeba,AU,73.44,scattered clouds,-17.0,145.4333,The Gateway Hotel
134,Puerto Ayora,EC,85.96,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
137,Mackay,AU,79.68,clear sky,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
148,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Page 63 hostel
157,Maxixe,MZ,74.75,overcast clouds,-23.8597,35.3472,Hotel Herry
164,Viedma,AR,78.4,broken clouds,-40.8135,-62.9967,Níjar
169,Natal,BR,81.25,scattered clouds,-5.795,-35.2094,Natal Palace Hotel
184,Namatanai,PG,82.18,overcast clouds,-3.6667,152.4333,Namatanai Hotel
185,Mar Del Plata,AR,71.1,broken clouds,-38.0023,-57.5575,Nuevo Ostende
187,Cayenne,GF,80.64,clear sky,4.9333,-52.3333,Central Hôtel
188,Waingapu,ID,78.28,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
189,Banda Aceh,ID,78.33,overcast clouds,5.5577,95.3222,Hotel 61
193,Khartoum,SD,88.92,overcast clouds,15.5518,32.5324,تانا للشقق الفندقية
194,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Deyna's City Inn
211,Wajir,KE,83.35,broken clouds,1.7471,40.0573,Kilimanjaro
