City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pisco,PE,2023-03-23 18:50:23,-13.7,-76.2167,78.85,69,0,9.22
1,Asfi,MA,2023-03-23 18:50:24,32.2994,-9.2372,62.19,79,43,14.14
2,Barreirinhas,BR,2023-03-23 18:49:28,-2.7469,-42.8264,82.42,78,86,5.23
3,San Angelo,US,2023-03-23 18:45:32,31.4638,-100.437,78.12,69,100,14.97
4,Khatanga,RU,2023-03-23 18:50:25,71.9667,102.5,16.57,81,100,18.32
5,Umuarama,BR,2023-03-23 18:45:47,-23.7664,-53.325,83.57,64,9,5.57
6,Albany,US,2023-03-23 18:45:51,42.6001,-73.9662,55.81,86,99,3.0
7,Jamestown,US,2023-03-23 18:48:22,42.097,-79.2353,52.52,95,100,11.5
8,Hilo,US,2023-03-23 18:47:44,19.7297,-155.09,77.29,94,100,4.61
9,Tessalit,ML,2023-03-23 18:50:25,20.1986,1.0114,81.5,14,6,9.57
10,Constitucion,CL,2023-03-23 18:50:26,-35.3333,-72.4167,71.31,47,0,15.73
11,Naze,JP,2023-03-23 18:50:26,28.3667,129.4833,67.12,89,100,4.97
12,Ust-Tsilma,RU,2023-03-23 18:50:26,65.441,52.1498,20.43,96,100,5.28
13,Vaini,TO,2023-03-23 18:50:27,-21.2,-175.2,77.16,88,75,5.75
14,Karasuk,RU,2023-03-23 18:50:27,53.7377,78.0403,23.67,96,100,6.49
15,Madina,GH,2023-03-23 18:50:28,5.6823,-0.1641,82.36,61,0,6.91
16,Atuona,PF,2023-03-23 18:50:28,-9.8,-139.0333,80.42,74,5,10.27
17,Tuktoyaktuk,CA,2023-03-23 18:50:28,69.4541,-133.0374,14.0,79,100,17.27
18,Te Anau,NZ,2023-03-23 18:50:29,-45.4167,167.7167,43.18,92,97,1.25
19,Ushuaia,AR,2023-03-23 18:50:29,-54.8,-68.3,49.66,57,20,13.8
20,New Norfolk,AU,2023-03-23 18:50:30,-42.7826,147.0587,48.7,82,6,3.4
21,Lavrentiya,RU,2023-03-23 18:50:30,65.5833,-171.0,0.41,96,100,1.63
22,Rikitea,PF,2023-03-23 18:50:30,-23.1203,-134.9692,78.22,66,98,12.48
23,Veraval,IN,2023-03-23 18:50:31,20.9,70.3667,76.77,79,0,10.04
24,Hasaki,JP,2023-03-23 18:50:31,35.7333,140.8333,70.2,91,100,27.2
25,Tazovskiy,RU,2023-03-23 18:50:31,67.4667,78.7,13.91,86,100,23.71
26,Petropavlovsk-Kamchatskiy,RU,2023-03-23 18:50:32,53.0452,158.6483,28.99,86,75,2.24
27,Yellowknife,CA,2023-03-23 18:50:32,62.456,-114.3525,9.12,61,0,13.8
28,Coahuayana,MX,2023-03-23 18:50:32,18.7333,-103.6833,91.6,30,6,7.52
29,Sosnogorsk,RU,2023-03-23 18:50:32,63.6023,53.8817,33.06,98,100,9.31
30,Radeberg,DE,2023-03-23 18:50:33,51.1167,13.9167,56.86,75,0,9.22
31,Altay,CN,2023-03-23 18:50:33,47.8667,88.1167,19.92,58,18,8.43
32,Manzhouli,CN,2023-03-23 18:50:34,49.6,117.4333,6.89,79,84,5.46
33,Georgetown,MY,2023-03-23 18:47:19,5.4112,100.3354,78.73,100,20,0.0
34,Hithadhoo,MV,2023-03-23 18:50:34,-0.6,73.0833,80.15,76,100,1.68
35,Tiksi,RU,2023-03-23 18:50:35,71.6872,128.8694,3.29,96,100,5.37
36,Mataura,NZ,2023-03-23 18:50:35,-46.1927,168.8643,41.67,99,60,2.13
37,Vila Do Maio,CV,2023-03-23 18:50:35,15.1333,-23.2167,75.99,69,0,17.13
38,Mount Isa,AU,2023-03-23 18:50:36,-20.7333,139.5,67.77,83,0,0.0
39,Pedernales,DO,2023-03-23 18:50:36,18.0384,-71.744,83.84,55,8,6.08
40,Castro,BR,2023-03-23 18:50:36,-24.7911,-50.0119,79.86,52,98,2.84
41,Busselton,AU,2023-03-23 18:50:36,-33.65,115.3333,64.4,87,69,12.57
42,Verkhnevilyuysk,RU,2023-03-23 18:50:37,63.4453,120.3167,19.47,93,100,7.02
43,Bredasdorp,ZA,2023-03-23 18:50:37,-34.5322,20.0403,68.29,91,100,20.02
44,Provideniya,RU,2023-03-23 18:50:37,64.3833,-173.3,-1.23,95,100,1.61
45,Cape Town,ZA,2023-03-23 18:51:38,-33.9258,18.4232,68.41,86,40,5.75
46,Ilulissat,GL,2023-03-23 18:51:38,69.2167,-51.1,14.02,67,100,4.61
47,Tasiilaq,GL,2023-03-23 18:51:38,65.6145,-37.6368,17.76,69,0,4.59
48,Kapaa,US,2023-03-23 18:51:38,22.0752,-159.319,74.19,91,100,8.05
49,Norman Wells,CA,2023-03-23 18:51:39,65.282,-126.8329,19.44,73,20,21.85
50,Havoysund,NO,2023-03-23 18:51:39,70.9963,24.6622,23.23,90,100,15.77
51,Lompoc,US,2023-03-23 18:51:39,34.6391,-120.4579,56.84,75,75,18.41
52,Chokurdakh,RU,2023-03-23 18:51:40,70.6333,147.9167,-28.46,100,94,6.22
53,Ucluelet,CA,2023-03-23 18:51:40,48.9329,-125.5528,41.31,91,100,1.01
54,Barrow,US,2023-03-23 18:51:40,71.2906,-156.7887,3.22,92,100,11.5
55,Sinnamary,GF,2023-03-23 18:51:41,5.3833,-52.95,80.49,74,97,8.61
56,Ossora,RU,2023-03-23 18:51:41,59.2353,163.0719,-20.42,89,30,5.32
57,Mahebourg,MU,2023-03-23 18:51:41,-20.4081,57.7,80.89,83,40,6.91
58,Tay Ninh,VN,2023-03-23 18:51:42,11.3,106.1,77.74,73,100,8.21
59,Priverno,IT,2023-03-23 18:51:42,41.4691,13.1856,61.27,78,100,2.73
60,Camana,PE,2023-03-23 18:51:42,-16.6228,-72.7111,76.24,74,13,6.6
61,Tucumcari,US,2023-03-23 18:51:43,35.1717,-103.725,61.95,44,100,4.61
62,Punta Arenas,CL,2023-03-23 18:47:19,-53.15,-70.9167,51.82,50,75,12.66
63,East London,ZA,2023-03-23 18:51:43,-33.0153,27.9116,70.74,94,100,16.11
64,Saldanha,ZA,2023-03-23 18:51:43,-33.0117,17.9442,66.25,89,100,8.39
65,Cidreira,BR,2023-03-23 18:51:44,-30.1811,-50.2056,79.21,79,40,12.55
66,Vicuna,CL,2023-03-23 18:51:44,-30.0319,-70.7081,93.78,32,0,8.59
67,Lata,PT,2023-03-23 18:51:44,40.1629,-8.3327,60.08,87,12,5.48
68,Butaritari,KI,2023-03-23 18:51:45,3.0707,172.7902,81.54,79,100,17.9
69,Kouango,CF,2023-03-23 18:51:45,4.9934,19.9619,81.81,49,21,2.8
70,Lumby,CA,2023-03-23 18:51:45,50.2498,-118.969,49.55,51,100,2.3
71,Narsaq,GL,2023-03-23 18:51:45,60.9167,-46.05,35.82,70,95,2.08
72,The Valley,AI,2023-03-23 18:51:46,18.217,-63.0578,82.26,54,75,16.11
73,Ribeira Grande,PT,2023-03-23 18:51:46,38.5167,-28.7,59.77,58,40,11.5
74,Praia Da Vitoria,PT,2023-03-23 18:51:46,38.7333,-27.0667,62.85,59,20,10.29
75,Upernavik,GL,2023-03-23 18:51:47,72.7868,-56.1549,-7.74,89,36,7.61
76,Arlit,NE,2023-03-23 18:51:47,18.7369,7.3853,82.27,9,4,8.37
77,Vao,NC,2023-03-23 18:51:47,-22.6667,167.4833,77.2,66,22,15.12
78,Hobart,AU,2023-03-23 18:51:22,-42.8794,147.3294,49.05,92,3,6.91
79,Fairbanks,US,2023-03-23 18:51:49,64.8378,-147.7164,30.16,68,75,12.66
80,Lakhnadon,IN,2023-03-23 18:49:23,22.6,79.6,73.92,44,43,4.7
81,Potiskum,NG,2023-03-23 18:51:49,11.7091,11.0694,87.87,20,25,9.33
82,Banda Aceh,ID,2023-03-23 18:51:50,5.5577,95.3222,78.89,80,100,2.24
83,North Platte,US,2023-03-23 18:51:50,41.1239,-100.7654,45.12,54,20,10.0
84,Esperance,AU,2023-03-23 18:51:50,-33.8667,121.9,67.3,87,100,12.17
85,Visby,SE,2023-03-23 18:51:51,57.6409,18.296,46.62,87,75,19.57
86,Barth,DE,2023-03-23 18:51:51,54.3635,12.7249,50.09,65,23,9.53
87,Slave Lake,CA,2023-03-23 18:52:52,55.2834,-114.769,28.38,74,0,4.61
88,Chemal,RU,2023-03-23 18:52:52,51.4111,86.005,29.55,85,100,3.87
89,Port Alfred,ZA,2023-03-23 18:52:52,-33.5906,26.891,68.18,91,100,5.99
90,Bowen,AU,2023-03-23 18:52:52,-20.0167,148.2333,74.17,79,72,10.04
91,Saskylakh,RU,2023-03-23 18:52:53,71.9167,114.0833,-19.34,100,73,5.73
92,Flinders,AU,2023-03-23 18:52:53,-34.5833,150.8552,66.18,93,9,5.99
93,Bilibino,RU,2023-03-23 18:52:53,68.0546,166.4372,-17.12,100,100,2.26
94,Tuatapere,NZ,2023-03-23 18:50:13,-46.1333,167.6833,45.57,94,77,5.1
95,Mar Del Plata,AR,2023-03-23 18:49:01,-38.0023,-57.5575,78.84,66,40,10.36
96,Vardo,NO,2023-03-23 18:52:54,70.3705,31.1107,12.18,67,100,27.63
97,Hermanus,ZA,2023-03-23 18:52:54,-34.4187,19.2345,68.81,92,100,6.87
98,Bambous Virieux,MU,2023-03-23 18:52:55,-20.3428,57.7575,80.85,83,40,6.91
99,Komsomolskiy,UZ,2023-03-23 18:52:55,40.4272,71.7189,52.52,62,18,9.22
100,Bluff,NZ,2023-03-23 18:52:55,-46.6,168.3333,48.47,87,96,8.86
101,Da Nang,VN,2023-03-23 18:52:55,16.0678,108.2208,76.98,94,20,2.3
102,Yumen,CN,2023-03-23 18:52:56,40.2833,97.2,35.49,22,100,7.81
103,Salalah,OM,2023-03-23 18:52:56,17.0151,54.0924,80.69,54,0,3.44
104,Kudahuvadhoo,MV,2023-03-23 18:52:56,2.6708,72.8944,81.25,78,97,6.42
105,Thompson,CA,2023-03-23 18:52:57,55.7435,-97.8558,28.56,46,75,6.91
106,Yulara,AU,2023-03-23 18:52:57,-25.2406,130.9889,73.99,32,99,7.0
107,Kaitangata,NZ,2023-03-23 18:52:57,-46.2817,169.8464,44.46,94,77,3.06
108,Mollendo,PE,2023-03-23 18:52:58,-17.0231,-72.0147,75.65,75,33,7.43
109,Qaanaaq,GL,2023-03-23 18:52:58,77.484,-69.3632,-7.1,77,21,4.0
110,Izumo,JP,2023-03-23 18:52:58,35.3667,132.7667,57.15,98,100,3.29
